"Reference","Value","Footprint","Qty","DNP"
"C1,C2,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C24,C25","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","18",""
"C3","22pF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C4,C5","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C20,C21","2.2uF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","2",""
"C22,C23","22uF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","2",""
"D1,D2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"D3,D4","SB140","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D5,D6","LED_R","LED_THT:LED_D3.0mm","2",""
"D7,D8,D9,D10","ZPD4V7","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","4",""
"D11,D12,D13,D14","ZPD3V0","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","4",""
"J1,J2,J3,J4,J5,J6,J7,J8,J9","TRS_Jack_6.35mm_Sw","SynthStuff:CUI_SJ-63083D","9",""
"J11,J13","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","2",""
"J12,J21","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","2",""
"J14,J16","Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","2",""
"J15,J24","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","2",""
"J18,J19,J22,J23","Conn_02x03_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","4",""
"J25,J26,J27,J28","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal","4",""
"J100","IDC_02x05","SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_Eurorack","1",""
"J200","IDC_02x05","SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_BackBone","1",""
"JP1,JP2,JP3,JP4","Jumper","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","4",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12","BC548","Package_TO_SOT_THT:TO-92L_Inline_Wide","12",""
"R1,R2","3k3","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R3,R64,R65,R70,R71","33k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","5",""
"R4,R5,R6,R7,R8,R12,R13,R14,R15,R16,R17,R25,R26,R27,R28,R29,R37,R38,R39,R40,R41,R49,R50,R51,R52,R53,R61,R62,R63,R67,R68,R69,R73,R74,R75,R80,R81,R82,R83,R84,R87,R92,R93,R96,R97","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","45",""
"R9,R11,R19,R21,R31,R33,R43,R45,R55,R57","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","10",""
"R10,R20,R23,R24,R32,R35,R36,R44,R47,R48,R56,R59,R60,R76,R78","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","15",""
"R18,R22,R30,R34,R42,R46,R54,R58","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","8",""
"R66,R72","18k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R77,R79","1k5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R85,R88","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R86,R89,R100,R101","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R90,R91,R98,R99","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R94,R95","220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"RV1","50k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"RV2,RV3,RV4,RV5","100k","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal","4",""
"RV6","50k","Potentiometer_THT:Potentiometer_Alps_RK09L_Double_Vertical","1",""
"RV7,RV8,RV12,RV13","100k","SynthStuff:Potentiometer_TT_P110KH1","4",""
"RV9,RV10,RV14,RV15","50k","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal","4",""
"RV11,RV16","100k","SynthStuff:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","2",""
"SW1","SW_DPDT_3way","SynthStuff:Toggle_Switch_2_Poles_TE","1",""
"SW2","SW_DPDT_OnOffOn_x2","SynthStuff:Toggle_Switch_2_Poles_TE","1",""
"U1,U2","LM4040LP-5","Package_TO_SOT_THT:TO-92L_Inline_Wide","2",""
"U3,U9,U10","TL074","Package_DIP:DIP-14_W7.62mm_Socket","3",""
"U4,U5,U6,U7,U8","TL072","Package_DIP:DIP-8_W7.62mm_Socket","5",""
